,control,spacing,trial,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,hd_score,grid_spacing
150,False,68.0,0.0,0.0027175589195451984,16.0,60.0,True,76.70815816368729,0.7245695376951338,0.22382886827130657,76.70815816368729
151,False,14.0,2.0,,,,False,87.25499091234738,-0.3648009417660001,0.019899782473924075,87.25499091234738
152,False,98.0,4.0,0.014378938734372038,13.0,40.0,True,97.9546476472939,0.462209214979053,0.20095810259850383,97.9546476472939
153,False,32.0,3.0,,,,False,31.35622166560712,0.9092675869284048,0.03685995843212981,31.35622166560712
154,False,60.0,4.0,0.000536299530926331,28.0,80.0,True,65.17320945771992,1.0067163636765954,0.05672246804055515,65.17320945771992
155,False,40.0,2.0,0.005052093917904372,27.0,120.0,True,41.36273369946438,0.9585960739965558,0.0014471695777795261,41.36273369946438
156,False,82.0,0.0,0.0027175589195451984,22.0,60.0,True,87.94033559971226,0.7983876759841652,0.16020944768124964,87.94033559971226
157,False,20.0,4.0,,,,False,,,0.0503419506689394,
158,False,54.0,1.0,0.000536299530926331,32.0,80.0,True,57.69669362389865,0.950881113696135,0.03741536868390985,57.69669362389865
159,False,52.0,4.0,0.000536299530926331,32.0,80.0,True,54.0435579309591,0.8586132012811573,0.13213552145356536,54.0435579309591
160,False,34.0,0.0,,,,False,32.86100494830556,0.4218358798899339,0.04975025354998414,32.86100494830556
161,False,66.0,1.0,0.0027175589195451984,18.0,60.0,True,75.66013678028236,0.8470964447379032,0.21152985486409942,75.66013678028236
162,False,98.0,1.0,0.0151281223706925,6.0,40.0,True,97.29352881792927,0.5707640433891352,0.10150414231906418,97.29352881792927
163,False,60.0,3.0,0.000536299530926331,25.0,80.0,True,63.69570635833235,1.0856771297553687,0.10671929724272972,63.69570635833235
164,False,76.0,3.0,0.0027175589195451984,13.0,60.0,True,87.37666434434104,0.6202913457939191,0.09542094517371227,87.37666434434104
165,False,40.0,1.0,4.889105233594385e-06,32.0,140.0,True,42.579798436982905,1.1392311167899951,0.045136086044599746,42.579798436982905
166,False,66.0,0.0,0.0027175589195451984,19.0,60.0,True,70.23420557443117,0.9449472405495146,0.19233538620127077,70.23420557443117
167,False,32.0,2.0,,,,False,54.90900333979519,0.48655790012638894,0.0654914960873007,54.90900333979519
168,False,62.0,4.0,0.0027175589195451984,25.0,60.0,True,68.90031882928982,1.0356169213508761,0.03192869190444088,68.90031882928982
