,control,trial,length_minutes,p_value,sig_bins,total_bins,shuffled_ran,calculated_grid_spacing,grid_score,field_size,hd_score,id,corr_between_frac_0_01
130,False,2.0,4.0,0.009879753250445107,8,80,True,51.20559592461932,0.6800741515232126,5.716299653154471,0.17541650672276485,4.0_2.0,0.4666666666666667
131,False,13.0,4.0,0.08357287701541317,13,20,True,49.594942610302446,0.6689216213143259,5.490268858042882,0.05751348960606646,4.0_13.0,
132,False,19.0,4.0,0.03564068249268293,13,120,True,50.29220260054178,0.8619693956065326,5.007693376343903,0.1131052967072149,4.0_19.0,0.5714285714285714
133,False,9.0,4.0,0.9861947219815315,0,20,True,48.677013284016596,0.44089586866142777,5.3025115238676035,0.04959357232217512,4.0_9.0,
134,False,6.0,4.0,0.036328664405860855,8,120,True,51.70998173963792,0.6324077532172496,5.536213331493574,0.07216937875088973,4.0_6.0,0.5142857142857142
135,False,5.0,4.0,0.014378938734372038,5,40,True,54.14719208662177,0.8353688946837907,5.671814154787007,0.11788455466981078,4.0_5.0,0.6666666666666666
136,False,4.0,1.0,0.08357287701541317,13,20,True,72.98309174022594,-0.040850670138256454,5.933726595969213,0.14144144744934195,1.0_4.0,
137,False,13.0,1.0,0.08357287701541317,15,20,True,87.34516432102247,0.12545004486958386,18.743831099319216,0.1962857481647967,1.0_13.0,
138,False,16.0,1.0,0.08357287701541317,14,20,True,35.80439163852024,-0.07609625010301896,13.5888872682115,0.14946106034315457,1.0_16.0,
139,False,17.0,1.0,0.08357287701541317,12,20,True,78.99569539243545,0.2954150319484137,14.955484374986343,0.21019024705164147,1.0_17.0,
140,False,11.0,1.0,0.08357287701541317,17,20,True,60.57454685905961,0.10239083535384792,5.671814154787007,0.11615517325124378,1.0_11.0,
141,False,14.0,1.0,0.08357287701541317,15,20,True,76.64377458854082,0.41423701344391783,16.970723747187247,0.1250493888873947,1.0_14.0,
142,False,10.0,1.0,0.08357287701541317,15,20,True,73.21758541518568,0.07584799018102988,14.38570532123729,0.24123052913215515,1.0_10.0,
143,False,3.0,1.0,0.08357287701541317,13,20,True,46.92621164832815,0.7411456100609433,5.671814154787007,0.2326785414538512,1.0_3.0,
144,False,7.0,200.0,2.2335258194775122e-05,77,120,True,50.82038253467122,1.0433348662206035,5.350068633107469,0.059864428567900425,200.0_7.0,0.7714285714285715
145,False,6.0,200.0,2.2335258194775122e-05,75,120,True,50.47591430577063,1.0481845312136275,5.536213331493574,0.10995262440679801,200.0_6.0,0.6857142857142857
146,False,19.0,200.0,4.650663710441662e-06,100,140,True,50.12899426625957,1.0935378950191466,5.397206712473788,0.051910755547857554,200.0_19.0,0.7083333333333334
147,False,3.0,200.0,4.650663710441662e-06,71,140,True,50.97648967637353,1.145271645606681,5.626976975981913,0.04118925187227241,200.0_3.0,0.8125
148,False,8.0,200.0,2.2335258194775122e-05,82,120,True,51.71085255332406,1.0201161834280872,5.626976975981913,0.012515147756672392,200.0_8.0,0.8
149,False,13.0,200.0,0.00010854035667974223,76,100,True,51.73406388206583,0.9445124380121601,5.581779641836362,0.07260497556181643,200.0_13.0,0.75
150,False,2.0,200.0,2.364810431323802e-05,62,120,True,51.47743851953621,0.9288456929174758,5.581779641836362,0.11455973883107555,200.0_2.0,0.8285714285714286
151,False,4.0,200.0,4.650663710441662e-06,96,140,True,50.94478551350143,0.9929506302823882,5.3025115238676035,0.04217331420505185,200.0_4.0,0.8125
152,False,9.0,200.0,4.650663710441662e-06,84,140,True,49.69612124225749,0.8673663390488139,5.716299653154471,0.06984830244836833,200.0_9.0,0.7708333333333334
153,False,18.0,200.0,2.2335258194775122e-05,81,120,True,50.160564278259045,1.0359980584531243,5.350068633107469,0.09286622083768906,200.0_18.0,0.8285714285714286
154,False,11.0,200.0,2.2335258194775122e-05,81,120,True,51.52324775830604,1.0464434454275195,5.206094181276915,0.07704229304597551,200.0_11.0,0.8571428571428571
155,False,13.0,45.0,0.00010854035667974223,44,100,True,51.29844081880216,0.8706197635931836,5.536213331493574,0.14981811549661908,45.0_13.0,0.7083333333333334
156,False,3.0,45.0,4.650663710441662e-06,34,140,True,49.0839104093272,1.0844366499333433,5.157209585242165,0.030514822494382733,45.0_3.0,0.7083333333333334
157,False,2.0,45.0,0.00010860931882296261,25,100,True,51.33946141022246,0.9070541388187576,5.397206712473788,0.16042640612357348,45.0_2.0,0.5416666666666666
158,False,15.0,45.0,0.00010854035667974223,37,100,True,50.60673471748214,1.1915461499458964,5.350068633107469,0.0621741950007339,45.0_15.0,0.6666666666666666
159,False,7.0,45.0,2.2335258194775122e-05,50,120,True,50.0369420437286,0.9887152422514152,5.157209585242165,0.08855336533686713,45.0_7.0,0.7714285714285715
160,False,8.0,45.0,2.2335258194775122e-05,46,120,True,49.316711754074376,1.0145803334811876,5.350068633107469,0.04704318443996364,45.0_8.0,0.7142857142857143
161,False,5.0,45.0,2.2346981053038265e-05,48,120,True,50.72875450069568,1.0359575082182713,5.443936646892927,0.04081529850588678,45.0_5.0,0.8
162,False,19.0,45.0,4.650663710441662e-06,70,140,True,50.13322128244993,1.1331802831451738,5.157209585242165,0.07124293940181675,45.0_19.0,0.7708333333333334
163,False,6.0,45.0,2.2335258194775122e-05,42,120,True,50.53611496275019,1.0142836259933918,5.3025115238676035,0.16061264291938734,45.0_6.0,0.6285714285714286
164,False,9.0,40.0,2.2335258194775122e-05,57,120,True,47.51654105892308,0.7976873957026487,5.716299653154471,0.10309490893368621,40.0_9.0,0.8
165,False,3.0,40.0,4.886925392044976e-06,37,140,True,48.395087506270514,1.0876634870763842,5.107857162049657,0.035857750204344514,40.0_3.0,0.5833333333333334
166,False,7.0,40.0,2.2335258194775122e-05,44,120,True,50.017339179699704,1.0078774111740323,5.107857162049657,0.09564668944147488,40.0_7.0,0.6857142857142857
167,False,18.0,40.0,4.650663710441662e-06,48,140,True,49.44212334740576,1.0136740011373568,5.107857162049657,0.09860711128891265,40.0_18.0,0.6875
168,False,2.0,40.0,0.00010854035667974223,26,100,True,51.54471346288002,0.8638004380922852,5.397206712473788,0.1469662276948664,40.0_2.0,0.5833333333333334
169,False,14.0,40.0,2.2335258194775122e-05,39,120,True,49.010283686017964,0.8951158072670979,5.581779641836362,0.09116914731355558,40.0_14.0,0.7714285714285715
